[2026-06-30 23:19:09] [INFO] tunnel url assigned | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-30 23:19:10] [INFO] tunnel ready | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search local_dns_ok=True
[2026-06-30 23:22:09] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-30 23:22:54] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=False
[2026-06-30 23:22:54] [INFO] tunnel url assigned | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-30 23:22:54] [INFO] tunnel ready | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search local_dns_ok=True
[2026-06-30 23:23:27] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-30 23:26:33] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=False
[2026-06-30 23:26:34] [INFO] tunnel url assigned | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-30 23:26:34] [INFO] tunnel ready | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search local_dns_ok=True
[2026-06-30 23:28:27] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-07-01 06:58:38] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=False
[2026-07-01 06:58:39] [INFO] tunnel url assigned | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-07-01 06:58:42] [INFO] tunnel ready | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search local_dns_ok=True
[2026-07-01 07:00:18] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-07-01 07:06:22] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=False
